"(PDH-CSV 4.0) (China Standard Time)(-480)","\\dcnds0005337\network interface(vmxnet3 ethernet adapter)\current bandwidth","\\dcnds0005337\network interface(vmxnet3 ethernet adapter)\bytes total/sec","\\dcnds0005337\network interface(vmxnet3 ethernet adapter)\bytes received/sec","\\dcnds0005337\network interface(vmxnet3 ethernet adapter)\bytes sent/sec","\\dcnds0005337\network interface(vmxnet3 ethernet adapter)\output queue length","\\dcnds0005337\memory\available bytes","\\dcnds0005337\memory\committed bytes","\\dcnds0005337\memory\commit limit","\\dcnds0005337\memory\% committed bytes in use","\\dcnds0005337\memory\page faults/sec","\\dcnds0005337\memory\pages/sec","\\dcnds0005337\memory\page reads/sec","\\dcnds0005337\memory\page writes/sec","\\dcnds0005337\memory\pool paged bytes","\\dcnds0005337\memory\pool nonpaged bytes","\\dcnds0005337\processor(_total)\% privileged time","\\dcnds0005337\processor(_total)\% processor time","\\dcnds0005337\processor(_total)\% user time"
"03/31/2016 23:10:18.776","10000000000","5260.1623414123669","3125.0851098640369","2135.0772315483305","0","5936345088","7575695360","26082009088","29.045674106008502","877.68770738229784","0","0","0","768458752","123088896","0","0.76475453846265307","0"
"03/31/2016 23:10:19.782","10000000000","8238.0469546809018","5773.9882673433112","2464.0586873375914","0","5936398336","7577219072","26082009088","29.051516109954051","555.6308213883475","0","0","0","768458752","123084800","2.3258210958228234","5.4164066694722184","3.8763817455232608"
"03/31/2016 23:10:20.788","10000000000","4623.007228928117","3397.4282323105367","1225.578996617581","0","5944524800","7563874304","26082009088","29.000351462495434","614.28047032414031","0","0","0","768442368","123080704","1.550550710336521","7.7422377046589608","5.4269225164958659"
"03/31/2016 23:10:21.794","10000000000","6457.5322088924695","3735.1710083142839","2722.3612005781861","0","5944750080","7564869632","26082009088","29.00416761023406","532.74392242055774","88.459345327294102","9.9392522839656294","0","768454656","123088896","21.707709944711297","27.124116614183514","6.2022028413460841"
"03/31/2016 23:10:22.800","10000000000","3681.9674748273806","2703.8206078645994","978.14686696278147","0","5944795136","7564328960","26082009088","29.002094641092093","565.61541392461652","0","0","0","768454656","123092992","0","2.315305248799171","1.550550710336521"
"03/31/2016 23:10:23.807","10000000000","9440.0736538238507","3356.2058430550765","6083.8678107687738","0","5945122816","7563456512","26082009088","28.998749622703912","154.90180814100353","0","0","0","768442368","123088896","0.77451043376297923","2.412310903964221","2.3235213717952932"
"03/31/2016 23:10:24.813","10000000000","9375.2441469829937","3343.7575604803637","6031.4865865026295","0","5945118720","7564341248","26082009088","29.002141754027132","502.95520975120809","0","0","0","768442368","123060224","0.77527038548630234","2.315305248799171","0.77527038548630234"
"03/31/2016 23:10:25.819","10000000000","5221.9757117501213","4150.5463593963659","1071.4293523537553","0","5945143296","7564439552","26082009088","29.002518657507494","136.16495479820455","0","0","0","768442368","123056128","0.7752803248502188","2.315305248799171","2.3258310351867397"
"03/31/2016 23:10:26.825","10000000000","7389.7362190216809","5621.3288026052742","1768.4074164164072","0","5944967168","7563796480","26082009088","29.000053080573483","3327.0711763607164","0","0","0","768442368","123031552","1.550550710336521","4.6411263446220037","2.3258210958228234"
"03/31/2016 23:10:27.832","10000000000","12491.304794688886","5100.1940874093425","7391.110707279543","0","5945393152","7563739136","26082009088","28.999833220209943","696.11293911097141","0","0","0","768442368","123015168","0.7745005042693347","2.412310903964221","2.3235213717952932"
"03/31/2016 23:10:28.839","10000000000","3939.1621601876241","3044.5757498497837","894.58641033784045","0","5945434112","7563649024","26082009088","28.999487725352946","126.23608234767305","0","0","0","768442368","123076608","0","1.540034863312878","0.77527038548630234"
"03/31/2016 23:10:29.845","10000000000","6537.8666517714355","3948.7601409984663","2589.1065107729687","0","5945536512","7562752000","26082009088","28.996048481094679","214.68215214086806","0","0","0","768442368","123052032","2.3258310351867397","4.6411263446220037","3.1011014206730421"
"03/31/2016 23:10:30.851","10000000000","3885.6654134923542","2940.3423620134008","945.3230514789534","0","5945610240","7562715136","26082009088","28.995907142289546","897.60958515824916","0","0","0","768425984","123027456","2.3259544896147073","3.8603423372899903","0.77532478982755104"
"03/31/2016 23:10:31.858","10000000000","5931.179255072484","3745.5898459958835","2185.589409076601","0","5945683968","7563509760","26082009088","28.998953778755769","218.45964107080974","0","0","0","768425984","123068416","0.77454296592928473","0.85913587533751334","0.77453303601856649"
"03/31/2016 23:10:32.864","10000000000","2861.6785459293442","2167.8780509454323","693.8004949839119","0","5945720832","7563075584","26082009088","28.997289121717522","221.65832432867097","0","0","0","768425984","123068416","0.77527038548630234","3.8658559591357","2.3258310351867397"
"03/31/2016 23:10:33.870","10000000000","8745.1408705222166","2507.8416022195443","6237.2992683026714","0","5945720832","7563882496","26082009088","29.000382871118795","168.97862559545086","0","0","0","768425984","123039744","4.6516521310095627","5.4164066694722184","1.550550710336521"
"03/31/2016 23:10:34.876","10000000000","10893.981383418346","4994.731428072736","5899.24995534561","0","5945753600","7563251712","26082009088","28.997964407119831","886.6269520081355","0","0","0","768425984","123101184","0.7752803248502188","3.8658559591357","2.3258210958228234"
"03/31/2016 23:10:35.883","10000000000","9770.6246566876562","6556.4466065151009","3214.1780501725552","0","5945884672","7562862592","26082009088","28.996472497510084","240.29381777626145","0","0","0","768425984","123105280","2.323511442301649","7.0593437180611618","5.4215432478599208"
"03/31/2016 23:10:36.889","10000000000","7140.6434411540013","5084.1301783828949","2056.5132627711064","0","5945905152","7562719232","26082009088","28.995922846601225","2717.4998842030959","0","0","0","768425984","123088896","3.8763817455232608","10.068058800481783","5.4269225164958659"
"03/31/2016 23:10:37.895","10000000000","9551.6120047530439","3521.840080428768","6029.7719243242755","0","5945921536","7562911744","26082009088","28.996660949250259","578.5241114336842","0","0","0","768425984","123080704","1.550550710336521","2.315305248799171","1.550550710336521"
"03/31/2016 23:10:38.901","10000000000","16581.662700830999","13043.075048573575","3538.5876522574249","0","5945868288","7565328384","26082009088","29.005926493142397","940.31008961672023","0","0","0","768425984","123076608","3.876371806159344","4.6411362839859134","0"
"03/31/2016 23:10:39.908","10000000000","6766.8225315311265","4168.6330342599213","2598.1894972712053","0","5945905152","7563075584","26082009088","28.997289121717522","365.77419089357443","0","0","0","768425984","123084800","0","0.76475453846265307","1.550550710336521"
"03/31/2016 23:10:40.914","10000000000","15153.212446249336","13270.615898319113","1882.5965479302224","0","5945905152","7563186176","26082009088","28.997713138132923","341.92883447095909","0","0","0","768425984","123076608","0.7752803248502188","3.0905756342854751","1.550550710336521"
"03/31/2016 23:10:41.920","10000000000","8505.4949751778113","4306.9194492749157","4198.5755259028947","0","5945933824","7563370496","26082009088","28.9984198321586","267.38087511076674","0","0","0","768425984","123047936","1.550550710336521","5.4164066694722184","4.6516521310095627"
"03/31/2016 23:10:42.926","10000000000","11878.20811018206","5831.7528855596775","6046.455224622383","0","5945937920","7564701696","26082009088","29.003523733455118","634.16709408336021","0","0","0","768425984","123109376","0.77527038548630234","4.6411362839859134","3.1011014206730421"
"03/31/2016 23:10:43.932","10000000000","6577.9403433092475","3650.7668300052683","2927.1735133039788","0","5946097664","7564189696","26082009088","29.001560694494916","419.4455764394836","0.99394686360067197","0.99394686360067197","0","768425984","123092992","0.7752803248502188","5.4164066694722184","5.4269324558597818"
